scenario,step,heading_error,mean_abs_heading_error,turn_bias,flywire_action,ideal_action,action_match,confusion_class
left,0,1.5707963267948966,1.5707963267948966,-0.017857142857142856,idle,turn_left,False,left_turn_confusion
left,1,1.2685479538457844,1.2685479538457844,-0.2661149825783972,turn_left,turn_left,True,match
left,2,1.3177639911034404,1.3177639911034404,0.07186411149825786,walk_forward,turn_left,False,left_turn_confusion
left,3,1.7187551890365642,1.7187551890365642,0.1925087108013937,turn_right,turn_left,False,left_turn_confusion
left,4,1.4194007488574196,1.4194007488574196,-0.26437282229965153,turn_left,turn_left,True,match
left,5,1.4708405317071218,1.4708405317071218,0.07186411149825786,walk_forward,turn_left,False,left_turn_confusion
left,6,1.8705537301778705,1.8705537301778705,0.1925087108013937,turn_right,turn_left,False,left_turn_confusion
left,7,1.5718639076468084,1.5718639076468084,-0.26437282229965153,turn_left,turn_left,True,match
left,8,1.623168469345703,1.623168469345703,0.07186411149825786,walk_forward,turn_left,False,left_turn_confusion
left,9,2.0193929927477083,2.0193929927477083,0.1925087108013937,turn_right,turn_left,False,left_turn_confusion
left,10,1.7190811383285038,1.7190811383285038,-0.26437282229965153,turn_left,turn_left,True,match
left,11,1.7680430357323957,1.7680430357323957,0.07186411149825786,walk_forward,turn_left,False,left_turn_confusion
left,12,2.1592175112469416,2.1592175112469416,0.1925087108013937,turn_right,turn_left,False,left_turn_confusion
left,13,1.8554959812127385,1.8554959812127385,-0.26437282229965153,turn_left,turn_left,True,match
left,14,1.9005548025881098,1.9005548025881098,0.07186411149825786,walk_forward,turn_left,False,left_turn_confusion
left,15,2.2859947593171674,2.2859947593171674,0.1925087108013937,turn_right,turn_left,False,left_turn_confusion
left,16,1.9778437371126651,1.9778437371126651,-0.26437282229965153,turn_left,turn_left,True,match
left,17,2.0182360087231594,2.0182360087231594,0.07186411149825786,walk_forward,turn_left,False,left_turn_confusion
left,18,2.3980079370308194,2.3980079370308194,0.1925087108013937,turn_right,turn_left,False,left_turn_confusion
left,19,2.085117228803333,2.085117228803333,-0.26437282229965153,turn_left,turn_left,True,match
left,20,2.1207335420187863,2.1207335420187863,0.07186411149825786,walk_forward,turn_left,False,left_turn_confusion
left,21,2.4953652423843855,2.4953652423843855,0.1925087108013937,turn_right,turn_left,False,left_turn_confusion
left,22,2.1779096028960523,2.1779096028960523,-0.26437282229965153,turn_left,turn_left,True,match
left,23,2.20904665130852,2.20904665130852,0.07186411149825786,walk_forward,turn_left,False,left_turn_confusion
left,24,2.579258020051911,2.579258020051911,0.1925087108013937,turn_right,turn_left,False,left_turn_confusion
left,25,2.257666836256469,2.257666836256469,-0.26437282229965153,turn_left,turn_left,True,match
left,26,2.2848111740479378,2.2848111740479378,0.07186411149825786,walk_forward,turn_left,False,left_turn_confusion
left,27,2.6513390422270877,2.6513390422270877,0.1925087108013937,turn_right,turn_left,False,left_turn_confusion
left,28,2.3261320104092986,2.3261320104092986,-0.26437282229965153,turn_left,turn_left,True,match
left,29,2.349819221470225,2.349819221470225,0.07186411149825786,walk_forward,turn_left,False,left_turn_confusion
left,30,2.713330076919704,2.713330076919704,0.1925087108013937,turn_right,turn_left,False,left_turn_confusion
left,31,2.3850231156121886,2.3850231156121886,-0.26437282229965153,turn_left,turn_left,True,match
left,32,2.3850231156121886,2.3850231156121886,0.07186411149825786,walk_forward,turn_left,False,left_turn_confusion
left,33,2.3850231156121886,2.3850231156121886,0.1925087108013937,turn_right,turn_left,False,left_turn_confusion
left,34,2.3850231156121886,2.3850231156121886,-0.26437282229965153,turn_left,turn_left,True,match
left,35,2.3850231156121886,2.3850231156121886,0.07186411149825786,walk_forward,turn_left,False,left_turn_confusion
left,36,2.3850231156121886,2.3850231156121886,0.1925087108013937,turn_right,turn_left,False,left_turn_confusion
left,37,2.3850231156121886,2.3850231156121886,-0.26437282229965153,turn_left,turn_left,True,match
left,38,2.3850231156121886,2.3850231156121886,0.07186411149825786,walk_forward,turn_left,False,left_turn_confusion
left,39,2.3850231156121886,2.3850231156121886,0.1925087108013937,turn_right,turn_left,False,left_turn_confusion
left,40,2.3850231156121886,2.3850231156121886,-0.26437282229965153,turn_left,turn_left,True,match
left,41,2.3850231156121886,2.3850231156121886,0.07186411149825786,walk_forward,turn_left,False,left_turn_confusion
left,42,2.3850231156121886,2.3850231156121886,0.1925087108013937,turn_right,turn_left,False,left_turn_confusion
left,43,2.3850231156121886,2.3850231156121886,-0.26437282229965153,turn_left,turn_left,True,match
left,44,2.3850231156121886,2.3850231156121886,0.07186411149825786,walk_forward,turn_left,False,left_turn_confusion
left,45,2.3850231156121886,2.3850231156121886,0.1925087108013937,turn_right,turn_left,False,left_turn_confusion
left,46,2.3850231156121886,2.3850231156121886,-0.26437282229965153,turn_left,turn_left,True,match
left,47,2.3850231156121886,2.3850231156121886,0.07186411149825786,walk_forward,turn_left,False,left_turn_confusion
left,48,2.3850231156121886,2.3850231156121886,0.1925087108013937,turn_right,turn_left,False,left_turn_confusion
left,49,2.3850231156121886,2.3850231156121886,-0.26437282229965153,turn_left,turn_left,True,match
left,50,2.3850231156121886,2.3850231156121886,0.07186411149825786,walk_forward,turn_left,False,left_turn_confusion
left,51,2.3850231156121886,2.3850231156121886,0.1925087108013937,turn_right,turn_left,False,left_turn_confusion
left,52,2.3850231156121886,2.3850231156121886,-0.26437282229965153,turn_left,turn_left,True,match
left,53,2.3850231156121886,2.3850231156121886,0.07186411149825786,walk_forward,turn_left,False,left_turn_confusion
left,54,2.3850231156121886,2.3850231156121886,0.1925087108013937,turn_right,turn_left,False,left_turn_confusion
left,55,2.3850231156121886,2.3850231156121886,-0.26437282229965153,turn_left,turn_left,True,match
left,56,2.3850231156121886,2.3850231156121886,0.07186411149825786,walk_forward,turn_left,False,left_turn_confusion
left,57,2.3850231156121886,2.3850231156121886,0.1925087108013937,turn_right,turn_left,False,left_turn_confusion
left,58,2.3850231156121886,2.3850231156121886,-0.26437282229965153,turn_left,turn_left,True,match
left,59,2.3850231156121886,2.3850231156121886,0.07186411149825786,walk_forward,turn_left,False,left_turn_confusion
left,60,2.3850231156121886,2.3850231156121886,0.1925087108013937,turn_right,turn_left,False,left_turn_confusion
left,61,2.3850231156121886,2.3850231156121886,-0.26437282229965153,turn_left,turn_left,True,match
left,62,2.3850231156121886,2.3850231156121886,0.07186411149825786,walk_forward,turn_left,False,left_turn_confusion
left,63,2.3850231156121886,2.3850231156121886,0.1925087108013937,turn_right,turn_left,False,left_turn_confusion
left,64,2.3850231156121886,2.3850231156121886,-0.26437282229965153,turn_left,turn_left,True,match
left,65,2.3850231156121886,2.3850231156121886,0.07186411149825786,walk_forward,turn_left,False,left_turn_confusion
