mode,scenario,step,x,y,heading,distance_to_target,heading_error,requested_action,action,left_drive,right_drive,turn_bias,locomotion_drive,collision
baseline,left,0,15.0,10.0,0.0,10.0,1.5707963267948966,idle,idle,0.017857142857142856,0.0,-0.017857142857142856,0.01904761904761905,False
baseline,left,1,15.46968635642369,10.171448903727725,0.35,9.839767371510645,1.2685479538457844,turn_left,turn_left,0.3392857142857143,0.07317073170731707,-0.2661149825783972,0.21904761904761905,False
baseline,left,2,15.93937271284738,10.34289780745545,0.35,9.702682301863284,1.3177639911034404,walk_forward,walk_forward,0.19642857142857142,0.2682926829268293,0.07186411149825786,0.2571428571428571,False
baseline,left,3,16.43937271284738,10.34289780745545,0.0,9.76378085393862,1.7187551890365642,turn_right,turn_right,0.39285714285714285,0.5853658536585366,0.1925087108013937,0.45714285714285713,False
baseline,left,4,16.90905906927107,10.514346711183176,0.35,9.675852667626122,1.4194007488574196,turn_left,turn_left,0.4107142857142857,0.14634146341463414,-0.26437282229965153,0.2857142857142857,False
baseline,left,5,17.37874542569476,10.685795614910901,0.35,9.613159372832468,1.4708405317071218,walk_forward,walk_forward,0.19642857142857142,0.2682926829268293,0.07186411149825786,0.2571428571428571,False
baseline,left,6,17.87874542569476,10.685795614910901,0.0,9.748927046253423,1.8705537301778705,turn_right,turn_right,0.39285714285714285,0.5853658536585366,0.1925087108013937,0.45714285714285713,False
baseline,left,7,18.34843178211845,10.857244518638627,0.35,9.736630484488172,1.5718639076468084,turn_left,turn_left,0.4107142857142857,0.14634146341463414,-0.26437282229965153,0.2857142857142857,False
baseline,left,8,18.81811813854214,11.028693422366352,0.35,9.749993222036478,1.623168469345703,walk_forward,walk_forward,0.19642857142857142,0.2682926829268293,0.07186411149825786,0.2571428571428571,False
baseline,left,9,19.31811813854214,11.028693422366352,0.0,9.956429378461909,2.0193929927477083,turn_right,turn_right,0.39285714285714285,0.5853658536585366,0.1925087108013937,0.45714285714285713,False
baseline,left,10,19.78780449496583,11.200142326094078,0.35,10.018012126316076,1.7190811383285038,turn_left,turn_left,0.4107142857142857,0.14634146341463414,-0.26437282229965153,0.2857142857142857,False
baseline,left,11,20.25749085138952,11.371591229821803,0.35,10.103991684365765,1.7680430357323957,walk_forward,walk_forward,0.19642857142857142,0.2682926829268293,0.07186411149825786,0.2571428571428571,False
baseline,left,12,20.75749085138952,11.371591229821803,0.0,10.372952270647062,2.1592175112469416,turn_right,turn_right,0.39285714285714285,0.5853658536585366,0.1925087108013937,0.45714285714285713,False
baseline,left,13,21.22717720781321,11.543040133549528,0.35,10.502280997967171,1.8554959812127385,turn_left,turn_left,0.4107142857142857,0.14634146341463414,-0.26437282229965153,0.2857142857142857,False
baseline,left,14,21.6968635642369,11.714489037277254,0.35,10.653528688251727,1.9005548025881098,walk_forward,walk_forward,0.19642857142857142,0.2682926829268293,0.07186411149825786,0.2571428571428571,False
baseline,left,15,22.1968635642369,11.714489037277254,0.0,10.974722642310349,2.2859947593171674,turn_right,turn_right,0.39285714285714285,0.5853658536585366,0.1925087108013937,0.45714285714285713,False
baseline,left,16,22.66654992066059,11.885937941004979,0.35,11.163063682663617,1.9778437371126651,turn_left,turn_left,0.4107142857142857,0.14634146341463414,-0.26437282229965153,0.2857142857142857,False
baseline,left,17,23.13623627708428,12.057386844732704,0.35,11.370287792785518,2.0182360087231594,walk_forward,walk_forward,0.19642857142857142,0.2682926829268293,0.07186411149825786,0.2571428571428571,False
baseline,left,18,23.63623627708428,12.057386844732704,0.0,11.733272381047481,2.3980079370308194,turn_right,turn_right,0.39285714285714285,0.5853658536585366,0.1925087108013937,0.45714285714285713,False
baseline,left,19,24.10592263350797,12.22883574846043,0.35,11.971166226890315,2.085117228803333,turn_left,turn_left,0.4107142857142857,0.14634146341463414,-0.26437282229965153,0.2857142857142857,False
baseline,left,20,24.57560898993166,12.400284652188155,0.35,12.224891038198537,2.1207335420187863,walk_forward,walk_forward,0.19642857142857142,0.2682926829268293,0.07186411149825786,0.2571428571428571,False
baseline,left,21,25.07560898993166,12.400284652188155,0.0,12.620363302447302,2.4953652423843855,turn_right,turn_right,0.39285714285714285,0.5853658536585366,0.1925087108013937,0.45714285714285713,False
baseline,left,22,25.54529534635535,12.57173355591588,0.35,12.898930045014195,2.1779096028960523,turn_left,turn_left,0.4107142857142857,0.14634146341463414,-0.26437282229965153,0.2857142857142857,False
baseline,left,23,26.01498170277904,12.743182459643606,0.35,13.190573252386768,2.20904665130852,walk_forward,walk_forward,0.19642857142857142,0.2682926829268293,0.07186411149825786,0.2571428571428571,False
baseline,left,24,26.51498170277904,12.743182459643606,0.0,13.610885512315512,2.579258020051911,turn_right,turn_right,0.39285714285714285,0.5853658536585366,0.1925087108013937,0.45714285714285713,False
baseline,left,25,26.98466805920273,12.914631363371331,0.35,13.922453706376448,2.257666836256469,turn_left,turn_left,0.4107142857142857,0.14634146341463414,-0.26437282229965153,0.2857142857142857,False
baseline,left,26,27.45435441562642,13.086080267099057,0.35,14.244761492669168,2.2848111740479378,walk_forward,walk_forward,0.19642857142857142,0.2682926829268293,0.07186411149825786,0.2571428571428571,False
baseline,left,27,27.95435441562642,13.086080267099057,0.0,14.683922650254488,2.6513390422270877,turn_right,turn_right,0.39285714285714285,0.5853658536585366,0.1925087108013937,0.45714285714285713,False
baseline,left,28,28.42404077205011,13.257529170826782,0.35,15.02217639131945,2.3261320104092986,turn_left,turn_left,0.4107142857142857,0.14634146341463414,-0.26437282229965153,0.2857142857142857,False
baseline,left,29,28.8937271284738,13.428978074554507,0.35,15.36925446029098,2.349819221470225,walk_forward,walk_forward,0.19642857142857142,0.2682926829268293,0.07186411149825786,0.2571428571428571,False
baseline,left,30,29.3937271284738,13.428978074554507,0.0,15.822696034293523,2.713330076919704,turn_right,turn_right,0.39285714285714285,0.5853658536585366,0.1925087108013937,0.45714285714285713,False
baseline,left,31,29.86341348489749,13.600426978282233,0.35,16.1825707254234,2.3850231156121886,turn_left,turn_left,0.4107142857142857,0.14634146341463414,-0.26437282229965153,0.2857142857142857,False
baseline,left,32,29.86341348489749,13.600426978282233,0.35,16.1825707254234,2.3850231156121886,walk_forward,rest,0.19642857142857142,0.2682926829268293,0.07186411149825786,0.0,True
baseline,left,33,29.86341348489749,13.600426978282233,0.35,16.1825707254234,2.3850231156121886,turn_right,rest,0.39285714285714285,0.5853658536585366,0.1925087108013937,0.0,True
baseline,left,34,29.86341348489749,13.600426978282233,0.35,16.1825707254234,2.3850231156121886,turn_left,rest,0.4107142857142857,0.14634146341463414,-0.26437282229965153,0.0,True
baseline,left,35,29.86341348489749,13.600426978282233,0.35,16.1825707254234,2.3850231156121886,walk_forward,rest,0.19642857142857142,0.2682926829268293,0.07186411149825786,0.0,True
baseline,left,36,29.86341348489749,13.600426978282233,0.35,16.1825707254234,2.3850231156121886,turn_right,rest,0.39285714285714285,0.5853658536585366,0.1925087108013937,0.0,True
baseline,left,37,29.86341348489749,13.600426978282233,0.35,16.1825707254234,2.3850231156121886,turn_left,rest,0.4107142857142857,0.14634146341463414,-0.26437282229965153,0.0,True
baseline,left,38,29.86341348489749,13.600426978282233,0.35,16.1825707254234,2.3850231156121886,walk_forward,rest,0.19642857142857142,0.2682926829268293,0.07186411149825786,0.0,True
baseline,left,39,29.86341348489749,13.600426978282233,0.35,16.1825707254234,2.3850231156121886,turn_right,rest,0.39285714285714285,0.5853658536585366,0.1925087108013937,0.0,True
baseline,left,40,29.86341348489749,13.600426978282233,0.35,16.1825707254234,2.3850231156121886,turn_left,rest,0.4107142857142857,0.14634146341463414,-0.26437282229965153,0.0,True
baseline,left,41,29.86341348489749,13.600426978282233,0.35,16.1825707254234,2.3850231156121886,walk_forward,rest,0.19642857142857142,0.2682926829268293,0.07186411149825786,0.0,True
baseline,left,42,29.86341348489749,13.600426978282233,0.35,16.1825707254234,2.3850231156121886,turn_right,rest,0.39285714285714285,0.5853658536585366,0.1925087108013937,0.0,True
baseline,left,43,29.86341348489749,13.600426978282233,0.35,16.1825707254234,2.3850231156121886,turn_left,rest,0.4107142857142857,0.14634146341463414,-0.26437282229965153,0.0,True
baseline,left,44,29.86341348489749,13.600426978282233,0.35,16.1825707254234,2.3850231156121886,walk_forward,rest,0.19642857142857142,0.2682926829268293,0.07186411149825786,0.0,True
baseline,left,45,29.86341348489749,13.600426978282233,0.35,16.1825707254234,2.3850231156121886,turn_right,rest,0.39285714285714285,0.5853658536585366,0.1925087108013937,0.0,True
baseline,left,46,29.86341348489749,13.600426978282233,0.35,16.1825707254234,2.3850231156121886,turn_left,rest,0.4107142857142857,0.14634146341463414,-0.26437282229965153,0.0,True
baseline,left,47,29.86341348489749,13.600426978282233,0.35,16.1825707254234,2.3850231156121886,walk_forward,rest,0.19642857142857142,0.2682926829268293,0.07186411149825786,0.0,True
baseline,left,48,29.86341348489749,13.600426978282233,0.35,16.1825707254234,2.3850231156121886,turn_right,rest,0.39285714285714285,0.5853658536585366,0.1925087108013937,0.0,True
baseline,left,49,29.86341348489749,13.600426978282233,0.35,16.1825707254234,2.3850231156121886,turn_left,rest,0.4107142857142857,0.14634146341463414,-0.26437282229965153,0.0,True
baseline,left,50,29.86341348489749,13.600426978282233,0.35,16.1825707254234,2.3850231156121886,walk_forward,rest,0.19642857142857142,0.2682926829268293,0.07186411149825786,0.0,True
baseline,left,51,29.86341348489749,13.600426978282233,0.35,16.1825707254234,2.3850231156121886,turn_right,rest,0.39285714285714285,0.5853658536585366,0.1925087108013937,0.0,True
baseline,left,52,29.86341348489749,13.600426978282233,0.35,16.1825707254234,2.3850231156121886,turn_left,rest,0.4107142857142857,0.14634146341463414,-0.26437282229965153,0.0,True
baseline,left,53,29.86341348489749,13.600426978282233,0.35,16.1825707254234,2.3850231156121886,walk_forward,rest,0.19642857142857142,0.2682926829268293,0.07186411149825786,0.0,True
baseline,left,54,29.86341348489749,13.600426978282233,0.35,16.1825707254234,2.3850231156121886,turn_right,rest,0.39285714285714285,0.5853658536585366,0.1925087108013937,0.0,True
baseline,left,55,29.86341348489749,13.600426978282233,0.35,16.1825707254234,2.3850231156121886,turn_left,rest,0.4107142857142857,0.14634146341463414,-0.26437282229965153,0.0,True
baseline,left,56,29.86341348489749,13.600426978282233,0.35,16.1825707254234,2.3850231156121886,walk_forward,rest,0.19642857142857142,0.2682926829268293,0.07186411149825786,0.0,True
baseline,left,57,29.86341348489749,13.600426978282233,0.35,16.1825707254234,2.3850231156121886,turn_right,rest,0.39285714285714285,0.5853658536585366,0.1925087108013937,0.0,True
baseline,left,58,29.86341348489749,13.600426978282233,0.35,16.1825707254234,2.3850231156121886,turn_left,rest,0.4107142857142857,0.14634146341463414,-0.26437282229965153,0.0,True
baseline,left,59,29.86341348489749,13.600426978282233,0.35,16.1825707254234,2.3850231156121886,walk_forward,rest,0.19642857142857142,0.2682926829268293,0.07186411149825786,0.0,True
baseline,left,60,29.86341348489749,13.600426978282233,0.35,16.1825707254234,2.3850231156121886,turn_right,rest,0.39285714285714285,0.5853658536585366,0.1925087108013937,0.0,True
baseline,left,61,29.86341348489749,13.600426978282233,0.35,16.1825707254234,2.3850231156121886,turn_left,rest,0.4107142857142857,0.14634146341463414,-0.26437282229965153,0.0,True
baseline,left,62,29.86341348489749,13.600426978282233,0.35,16.1825707254234,2.3850231156121886,walk_forward,rest,0.19642857142857142,0.2682926829268293,0.07186411149825786,0.0,True
baseline,left,63,29.86341348489749,13.600426978282233,0.35,16.1825707254234,2.3850231156121886,turn_right,rest,0.39285714285714285,0.5853658536585366,0.1925087108013937,0.0,True
baseline,left,64,29.86341348489749,13.600426978282233,0.35,16.1825707254234,2.3850231156121886,turn_left,rest,0.4107142857142857,0.14634146341463414,-0.26437282229965153,0.0,True
baseline,left,65,29.86341348489749,13.600426978282233,0.35,16.1825707254234,2.3850231156121886,walk_forward,rest,0.19642857142857142,0.2682926829268293,0.07186411149825786,0.0,True
baseline,left,66,29.86341348489749,13.600426978282233,0.35,16.1825707254234,2.3850231156121886,turn_right,rest,0.39285714285714285,0.5853658536585366,0.1925087108013937,0.0,True
baseline,left,67,29.86341348489749,13.600426978282233,0.35,16.1825707254234,2.3850231156121886,turn_left,rest,0.4107142857142857,0.14634146341463414,-0.26437282229965153,0.0,True
baseline,left,68,29.86341348489749,13.600426978282233,0.35,16.1825707254234,2.3850231156121886,walk_forward,rest,0.19642857142857142,0.2682926829268293,0.07186411149825786,0.0,True
baseline,left,69,29.86341348489749,13.600426978282233,0.35,16.1825707254234,2.3850231156121886,turn_right,rest,0.39285714285714285,0.5853658536585366,0.1925087108013937,0.0,True
baseline,left,70,29.86341348489749,13.600426978282233,0.35,16.1825707254234,2.3850231156121886,turn_left,rest,0.4107142857142857,0.14634146341463414,-0.26437282229965153,0.0,True
baseline,left,71,29.86341348489749,13.600426978282233,0.35,16.1825707254234,2.3850231156121886,walk_forward,rest,0.19642857142857142,0.2682926829268293,0.07186411149825786,0.0,True
baseline,left,72,29.86341348489749,13.600426978282233,0.35,16.1825707254234,2.3850231156121886,turn_right,rest,0.39285714285714285,0.5853658536585366,0.1925087108013937,0.0,True
baseline,left,73,29.86341348489749,13.600426978282233,0.35,16.1825707254234,2.3850231156121886,turn_left,rest,0.4107142857142857,0.14634146341463414,-0.26437282229965153,0.0,True
baseline,left,74,29.86341348489749,13.600426978282233,0.35,16.1825707254234,2.3850231156121886,walk_forward,rest,0.19642857142857142,0.2682926829268293,0.07186411149825786,0.0,True
baseline,left,75,29.86341348489749,13.600426978282233,0.35,16.1825707254234,2.3850231156121886,turn_right,rest,0.39285714285714285,0.5853658536585366,0.1925087108013937,0.0,True
baseline,left,76,29.86341348489749,13.600426978282233,0.35,16.1825707254234,2.3850231156121886,turn_left,rest,0.4107142857142857,0.14634146341463414,-0.26437282229965153,0.0,True
baseline,left,77,29.86341348489749,13.600426978282233,0.35,16.1825707254234,2.3850231156121886,walk_forward,rest,0.19642857142857142,0.2682926829268293,0.07186411149825786,0.0,True
