mode,scenario,steps,initial_distance,final_distance,min_distance,distance_reduction,final_heading_error,turn_count,movement_fraction,collision_rate,mean_turn_bias,mean_locomotion,action_distribution
baseline,left,100,10.0,16.1825707254234,9.613159372832468,-6.1825707254234,2.3850231156121886,21,0.31,0.68,-0.00019599303135887626,0.10238095238095238,"{'idle': 1, 'turn_left': 11, 'walk_forward': 10, 'turn_right': 10, 'rest': 68}"
baseline,right,100,10.0,15.108062681466865,8.892349203469916,-5.1080626814668655,-2.28455347825858,24,0.34,0.66,0.002957317073170733,0.11133333333333333,"{'turn_right': 13, 'turn_left': 11, 'walk_forward': 10, 'rest': 66}"
baseline,front,100,10.0,7.003174924083545,3.430624514428524,2.9968250759164548,2.6299250802667236,1,0.31,0.69,0.0013501742160279113,0.10095238095238095,"{'turn_right': 1, 'walk_forward': 30, 'rest': 69}"
oracle,left,100,10.0,2.62145035836359,0.12355235956227809,7.378549641636409,-2.126866121344881,87,1.0,0.0,0.0,0.6052658660306898,"{'turn_left': 7, 'walk_forward': 13, 'turn_right': 80}"
oracle,right,100,10.0,0.215500509392741,0.215500509392741,9.784499490607258,0.09093025549597256,9,0.21,0.79,0.0,0.1441364072407291,"{'turn_right': 7, 'walk_forward': 12, 'turn_left': 2, 'rest': 79}"
oracle,front,100,10.0,2.831191076410431,0.0,7.16880892358957,1.8829977249821497,79,1.0,0.0,0.0,0.686187176919521,"{'walk_forward': 21, 'turn_left': 43, 'turn_right': 36}"
intervention,left,100,10.0,2.4553430592056693,0.190703972561434,7.544656940794331,2.1640394020429063,94,0.99,0.0,-0.0003745644599303139,0.32961904761904764,"{'turn_left': 88, 'walk_forward': 6, 'turn_right': 6}"
intervention,right,100,10.0,0.5012046669700385,0.5012046669700385,9.498795333029962,-0.9646305162335942,19,0.21,0.79,0.002957317073170732,0.06704761904761905,"{'turn_right': 11, 'turn_left': 8, 'walk_forward': 2, 'rest': 79}"
intervention,front,100,10.0,2.8267738121284545,0.015013720720561737,7.1732261878715455,1.9033756527865944,83,1.0,0.0,0.0013501742160279113,0.33095238095238094,"{'turn_right': 2, 'turn_left': 81, 'walk_forward': 17}"
