condition,threshold,leak,weight_scale,refractory_steps,total_spikes,motor_spikes,mean_locomotion,mean_turn_bias,transition_rate,dominant_period
sensory,0.5,0.8,0.02,3,1709,28,0.19753086419753085,0.15626383355467022,0.5,3
ascending,0.5,0.8,0.02,3,5131,76,0.1959531416400426,0.20002901073397159,0.75,1
sensory,0.5,0.8,0.04,1,3740,56,0.4125514403292181,0.3572377158034528,0.25,3
ascending,0.5,0.8,0.04,1,10573,151,0.3975860844870429,0.40644038294168844,0.125,3
sensory,0.5,0.8,0.04,2,2707,41,0.30349794238683125,0.25630810092961487,0.75,1
ascending,0.5,0.8,0.04,2,7785,112,0.2925097621583245,0.2992457209167392,0.125,1
sensory,0.5,0.8,0.04,3,1998,30,0.21810699588477367,0.19079238601150952,0.75,1
ascending,0.5,0.8,0.04,3,5473,78,0.2012779552715655,0.20902233826515812,0.5,1
sensory,0.5,0.8,0.06,1,4095,58,0.4331275720164609,0.40460380699424525,0.125,3
ascending,0.5,0.8,0.06,1,11045,160,0.4128505502307419,0.4232666086451987,0.125,3
sensory,0.5,0.8,0.06,2,2996,43,0.32304526748971196,0.2957060646303674,0.125,1
ascending,0.5,0.8,0.06,2,8171,119,0.3067092651757188,0.31389614157238177,0.625,1
sensory,0.5,0.8,0.06,3,2122,30,0.22016460905349797,0.21336874723328908,0.5,1
ascending,0.5,0.8,0.06,3,5617,82,0.20695775647852324,0.214824485059472,0.75,1
sensory,0.5,0.9,0.02,1,3001,46,0.34156378600823045,0.28021248339973437,0.25,3
ascending,0.5,0.9,0.02,1,9272,139,0.3564075257365993,0.3653901943719176,0.25,3
sensory,0.5,0.9,0.02,2,2064,30,0.23045267489711932,0.1899070385126162,0.25,1
ascending,0.5,0.9,0.02,2,6625,101,0.25452609158679446,0.26182187409341456,0.25,1
sensory,0.5,0.9,0.02,3,1687,26,0.1934156378600823,0.15449313855688357,0.5,3
ascending,0.5,0.9,0.02,3,5076,76,0.19453319133830316,0.1985784740353931,0.75,1
sensory,0.5,0.9,0.04,1,3710,56,0.4125514403292181,0.3519256308100929,0.25,3
ascending,0.5,0.9,0.04,1,10535,151,0.39439119630812924,0.4052799535828256,0.125,3
sensory,0.5,0.9,0.04,2,2702,41,0.30349794238683125,0.2549800796812749,0.75,1
ascending,0.5,0.9,0.04,2,7765,112,0.2917997870074547,0.2986655062373078,0.125,1
sensory,0.5,0.9,0.04,3,1997,30,0.21810699588477364,0.19079238601150952,0.75,1
ascending,0.5,0.9,0.04,3,5456,78,0.20092296769613063,0.20887728459530028,0.5,1
sensory,0.5,0.9,0.06,1,4055,58,0.43209876543209874,0.40239043824701193,0.125,3
ascending,0.5,0.9,0.06,1,11019,160,0.4117855875044374,0.42254134029590956,0.125,3
sensory,0.5,0.9,0.06,2,2975,43,0.32201646090534974,0.29393536963258077,0.125,1
ascending,0.5,0.9,0.06,2,8146,118,0.30528931487397937,0.3128807658833769,0.625,1
sensory,0.5,0.9,0.06,3,2096,30,0.22016460905349797,0.21027003098716246,0.625,1
ascending,0.5,0.9,0.06,3,5601,82,0.20660276890308837,0.21424427038004062,0.75,1
sensory,0.5,0.95,0.02,1,2979,46,0.34053497942386834,0.2784417884019478,0.25,3
ascending,0.5,0.95,0.02,1,9245,139,0.35569755058572944,0.3651000870322019,0.25,3
sensory,0.5,0.95,0.02,2,2052,30,0.2294238683127572,0.18769366976538293,0.25,1
ascending,0.5,0.95,0.02,2,6604,101,0.2541711040113596,0.26095155207426746,0.25,1
sensory,0.5,0.95,0.02,3,1659,26,0.18724279835390945,0.14918105356352368,0.5,3
ascending,0.5,0.95,0.02,3,5063,76,0.19524316648917286,0.19814331302581956,0.75,1
sensory,0.5,0.95,0.04,1,3701,56,0.4125514403292181,0.3514829570606463,0.25,3
ascending,0.5,0.95,0.04,1,10523,151,0.39403620873269435,0.40455468523353644,0.125,3
sensory,0.5,0.95,0.04,2,2693,41,0.30349794238683125,0.2545374059318283,0.75,1
ascending,0.5,0.95,0.04,2,7758,112,0.2917997870074547,0.29852045256744997,0.125,1
sensory,0.5,0.95,0.04,3,1985,30,0.21810699588477364,0.1876936697653829,0.75,1
ascending,0.5,0.95,0.04,3,5442,78,0.20163294284700034,0.20887728459530028,0.625,1
sensory,0.5,0.95,0.06,1,4039,58,0.43209876543209874,0.40017706949977866,0.125,3
ascending,0.5,0.95,0.06,1,10983,160,0.410365637202698,0.4215259646069046,0.125,3
sensory,0.5,0.95,0.06,2,2965,43,0.32201646090534974,0.2921646746347941,0.125,1
ascending,0.5,0.95,0.06,2,8126,118,0.3049343272985446,0.31215549753408767,0.625,1
sensory,0.5,0.95,0.06,3,2086,30,0.22016460905349794,0.2076139884904825,0.625,1
ascending,0.5,0.95,0.06,3,5592,81,0.2073127440539581,0.21337394836089354,0.625,1
sensory,0.7,0.8,0.02,1,2190,27,0.23765432098765438,0.20407259849490922,0.25,3
ascending,0.7,0.8,0.02,1,8117,127,0.324103656372027,0.32506527415143605,0.25,3
sensory,0.7,0.8,0.02,2,1471,20,0.16563786008230455,0.13545816733067728,0.5,1
ascending,0.7,0.8,0.02,2,5614,90,0.22470713525026628,0.22425297360023208,0.25,1
sensory,0.7,0.8,0.02,3,1217,16,0.12551440329218105,0.10889774236387781,0.625,1
ascending,0.7,0.8,0.02,3,4712,73,0.19133830315938946,0.18697418044676534,0.5,3
sensory,0.7,0.8,0.04,1,3440,54,0.38786008230452673,0.32580787959274016,0.25,3
ascending,0.7,0.8,0.04,1,10020,147,0.3830315938942137,0.38511749347258484,0.125,3
sensory,0.7,0.8,0.04,2,2451,39,0.2767489711934157,0.23107569721115542,0.25,1
ascending,0.7,0.8,0.04,2,7314,108,0.2825701100461484,0.2808239048447926,0.125,1
sensory,0.7,0.8,0.04,3,1921,30,0.21502057613168724,0.1828242585214697,0.625,1
ascending,0.7,0.8,0.04,3,5345,78,0.1998580049698261,0.20597621119814333,0.5,1
sensory,0.7,0.8,0.06,1,3814,57,0.4166666666666667,0.36874723328906595,0.25,3
ascending,0.7,0.8,0.06,1,10681,152,0.40042598509052185,0.4116623150565709,0.125,3
sensory,0.7,0.8,0.06,2,2780,42,0.3076131687242798,0.2687029659141213,0.25,1
ascending,0.7,0.8,0.06,2,7873,112,0.2974795882144125,0.30316217000290113,0.125,1
sensory,0.7,0.8,0.06,3,2032,30,0.21810699588477364,0.19787516600265603,0.75,1
ascending,0.7,0.8,0.06,3,5503,78,0.20376286829960952,0.2104728749637366,0.5,1
sensory,0.7,0.9,0.02,1,2129,27,0.2273662551440329,0.197875166002656,0.25,3
ascending,0.7,0.9,0.02,1,8029,126,0.321618743343983,0.32100377139541636,0.25,3
sensory,0.7,0.9,0.02,2,1438,18,0.15637860082304528,0.13191677733510404,0.5,1
ascending,0.7,0.9,0.02,2,5549,90,0.22399716009939652,0.22033652451407018,0.25,1
sensory,0.7,0.9,0.02,3,1202,15,0.1234567901234568,0.10845506861443116,0.625,1
ascending,0.7,0.9,0.02,3,4667,72,0.19027334043308486,0.18552364374818683,0.5,3
sensory,0.7,0.9,0.04,1,3430,54,0.3868312757201646,0.3240371845949535,0.25,3
ascending,0.7,0.9,0.04,1,9998,147,0.3830315938942137,0.38497243980272705,0.125,3
sensory,0.7,0.9,0.04,2,2439,39,0.27469135802469136,0.22974767596281545,0.25,1
ascending,0.7,0.9,0.04,2,7276,108,0.2818601348952787,0.2799535828256455,0.125,1
sensory,0.7,0.9,0.04,3,1905,30,0.21296296296296294,0.18238158477202301,0.625,3
ascending,0.7,0.9,0.04,3,5314,77,0.1995030173943912,0.20583115752828549,0.625,1
sensory,0.7,0.9,0.06,1,3779,57,0.4166666666666667,0.3607791057990261,0.25,3
ascending,0.7,0.9,0.06,1,10639,151,0.3997160099396521,0.4091964026689875,0.125,3
sensory,0.7,0.9,0.06,2,2756,42,0.3076131687242798,0.2633908809207614,0.25,1
ascending,0.7,0.9,0.06,2,7858,111,0.29570465033723825,0.30272700899332755,0.125,1
sensory,0.7,0.9,0.06,3,2010,30,0.21810699588477367,0.19123505976095617,0.75,1
ascending,0.7,0.9,0.06,3,5494,78,0.20340788072417465,0.21003771395416304,0.5,1
sensory,0.7,0.95,0.02,1,2089,26,0.2242798353909465,0.19344842850818944,0.25,3
ascending,0.7,0.95,0.02,1,8007,126,0.321618743343983,0.32013344937626925,0.25,3
sensory,0.7,0.95,0.02,2,1394,18,0.15226337448559668,0.1292607348384241,0.5,1
ascending,0.7,0.95,0.02,2,5526,90,0.22399716009939652,0.2197563098346388,0.25,1
sensory,0.7,0.95,0.02,3,1172,15,0.12139917695473251,0.10624169986719786,0.625,1
ascending,0.7,0.95,0.02,3,4641,72,0.19027334043308486,0.18465332172903975,0.5,3
sensory,0.7,0.95,0.04,1,3413,54,0.3816872427983539,0.3231518370960602,0.25,3
ascending,0.7,0.95,0.04,1,9964,147,0.3830315938942137,0.38366695677400636,0.125,3
sensory,0.7,0.95,0.04,2,2429,39,0.27263374485596703,0.22974767596281545,0.25,1
ascending,0.7,0.95,0.04,2,7261,108,0.28186013489527867,0.27951842181607195,0.125,1
sensory,0.7,0.95,0.04,3,1895,29,0.2109053497942387,0.18238158477202301,0.5,3
ascending,0.7,0.95,0.04,3,5293,77,0.19879304224352146,0.20539599651871188,0.625,1
sensory,0.7,0.95,0.06,1,3768,57,0.4166666666666667,0.35945108455068614,0.25,3
ascending,0.7,0.95,0.06,1,10628,151,0.3997160099396521,0.40919640266898755,0.125,3
sensory,0.7,0.95,0.06,2,2751,42,0.3076131687242798,0.26206285967242143,0.25,1
ascending,0.7,0.95,0.06,2,7850,111,0.29570465033723825,0.302291847983754,0.125,1
sensory,0.7,0.95,0.06,3,2014,30,0.21810699588477364,0.19123505976095614,0.75,1
ascending,0.7,0.95,0.06,3,5482,78,0.20305289314873978,0.21003771395416304,0.5,1
