condition,timestep,active_neurons,motor_spikes,locomotion_drive,left_drive,right_drive,turn_bias,endocrine_drive,action
sensory,0,50,0,0.0,0.0,0.0398406374501992,0.0398406374501992,0.0,rest
sensory,1,124,1,0.14814814814814814,0.0,0.07569721115537849,0.07569721115537849,0.0,walk_forward
sensory,2,570,10,0.6203703703703703,0.0,0.4900398406374502,0.4900398406374502,0.0,turn_right
sensory,3,259,4,0.19444444444444445,0.0,0.2589641434262948,0.2589641434262948,1.0,turn_right
sensory,4,146,1,0.16666666666666666,0.0,0.09163346613545817,0.09163346613545817,0.0,walk_forward
sensory,5,573,10,0.6203703703703703,0.0,0.4900398406374502,0.4900398406374502,0.0,turn_right
sensory,6,260,4,0.19444444444444445,0.0,0.26294820717131473,0.26294820717131473,1.0,turn_right
sensory,7,147,1,0.16666666666666666,0.0,0.09561752988047809,0.09561752988047809,0.0,walk_forward
sensory,8,573,10,0.6203703703703703,0.0,0.4900398406374502,0.4900398406374502,0.0,turn_right
sensory,9,260,4,0.19444444444444445,0.0,0.26294820717131473,0.26294820717131473,1.0,turn_right
sensory,10,147,1,0.16666666666666666,0.0,0.09561752988047809,0.09561752988047809,0.0,walk_forward
sensory,11,573,10,0.6203703703703703,0.0,0.4900398406374502,0.4900398406374502,0.0,turn_right
sensory,12,260,4,0.19444444444444445,0.0,0.26294820717131473,0.26294820717131473,1.0,turn_right
sensory,13,147,1,0.16666666666666666,0.0,0.09561752988047809,0.09561752988047809,0.0,walk_forward
sensory,14,573,10,0.6203703703703703,0.0,0.4900398406374502,0.4900398406374502,0.0,turn_right
sensory,15,260,4,0.19444444444444445,0.0,0.26294820717131473,0.26294820717131473,1.0,turn_right
sensory,16,147,1,0.16666666666666666,0.0,0.09561752988047809,0.09561752988047809,0.0,walk_forward
sensory,17,573,10,0.6203703703703703,0.0,0.4900398406374502,0.4900398406374502,0.0,turn_right
sensory,18,260,4,0.19444444444444445,0.0,0.26294820717131473,0.26294820717131473,1.0,turn_right
sensory,19,147,1,0.16666666666666666,0.0,0.09561752988047809,0.09561752988047809,0.0,walk_forward
sensory,20,573,10,0.6203703703703703,0.0,0.4900398406374502,0.4900398406374502,0.0,turn_right
sensory,21,260,4,0.19444444444444445,0.0,0.26294820717131473,0.26294820717131473,1.0,turn_right
sensory,22,147,1,0.16666666666666666,0.0,0.09561752988047809,0.09561752988047809,0.0,walk_forward
sensory,23,573,10,0.6203703703703703,0.0,0.4900398406374502,0.4900398406374502,0.0,turn_right
sensory,24,260,4,0.19444444444444445,0.0,0.26294820717131473,0.26294820717131473,1.0,turn_right
sensory,25,147,1,0.16666666666666666,0.0,0.09561752988047809,0.09561752988047809,0.0,walk_forward
sensory,26,573,10,0.6203703703703703,0.0,0.4900398406374502,0.4900398406374502,0.0,turn_right
sensory,27,260,4,0.19444444444444445,0.0,0.26294820717131473,0.26294820717131473,1.0,turn_right
sensory,28,147,1,0.16666666666666666,0.0,0.09561752988047809,0.09561752988047809,0.0,walk_forward
sensory,29,573,10,0.6203703703703703,0.0,0.4900398406374502,0.4900398406374502,0.0,turn_right
sensory,30,260,4,0.19444444444444445,0.0,0.26294820717131473,0.26294820717131473,1.0,turn_right
sensory,31,147,1,0.16666666666666666,0.0,0.09561752988047809,0.09561752988047809,0.0,walk_forward
sensory,32,573,10,0.6203703703703703,0.0,0.4900398406374502,0.4900398406374502,0.0,turn_right
sensory,33,260,4,0.19444444444444445,0.0,0.26294820717131473,0.26294820717131473,1.0,turn_right
sensory,34,147,1,0.16666666666666666,0.0,0.09561752988047809,0.09561752988047809,0.0,walk_forward
sensory,35,573,10,0.6203703703703703,0.0,0.4900398406374502,0.4900398406374502,0.0,turn_right
sensory,36,260,4,0.19444444444444445,0.0,0.26294820717131473,0.26294820717131473,1.0,turn_right
sensory,37,147,1,0.16666666666666666,0.0,0.09561752988047809,0.09561752988047809,0.0,walk_forward
sensory,38,573,10,0.6203703703703703,0.0,0.4900398406374502,0.4900398406374502,0.0,turn_right
sensory,39,260,4,0.19444444444444445,0.0,0.26294820717131473,0.26294820717131473,1.0,turn_right
sensory,40,147,1,0.16666666666666666,0.0,0.09561752988047809,0.09561752988047809,0.0,walk_forward
sensory,41,573,10,0.6203703703703703,0.0,0.4900398406374502,0.4900398406374502,0.0,turn_right
sensory,42,260,4,0.19444444444444445,0.0,0.26294820717131473,0.26294820717131473,1.0,turn_right
sensory,43,147,1,0.16666666666666666,0.0,0.09561752988047809,0.09561752988047809,0.0,walk_forward
sensory,44,573,10,0.6203703703703703,0.0,0.4900398406374502,0.4900398406374502,0.0,turn_right
sensory,45,260,4,0.19444444444444445,0.0,0.26294820717131473,0.26294820717131473,1.0,turn_right
sensory,46,147,1,0.16666666666666666,0.0,0.09561752988047809,0.09561752988047809,0.0,walk_forward
sensory,47,573,10,0.6203703703703703,0.0,0.4900398406374502,0.4900398406374502,0.0,turn_right
sensory,48,260,4,0.19444444444444445,0.0,0.26294820717131473,0.26294820717131473,1.0,turn_right
sensory,49,147,1,0.16666666666666666,0.0,0.09561752988047809,0.09561752988047809,0.0,walk_forward
sensory,50,573,10,0.6203703703703703,0.0,0.4900398406374502,0.4900398406374502,0.0,turn_right
sensory,51,260,4,0.19444444444444445,0.0,0.26294820717131473,0.26294820717131473,1.0,turn_right
sensory,52,147,1,0.16666666666666666,0.0,0.09561752988047809,0.09561752988047809,0.0,walk_forward
sensory,53,573,10,0.6203703703703703,0.0,0.4900398406374502,0.4900398406374502,0.0,turn_right
sensory,54,260,4,0.19444444444444445,0.0,0.26294820717131473,0.26294820717131473,1.0,turn_right
sensory,55,147,1,0.16666666666666666,0.0,0.09561752988047809,0.09561752988047809,0.0,walk_forward
sensory,56,573,10,0.6203703703703703,0.0,0.4900398406374502,0.4900398406374502,0.0,turn_right
sensory,57,260,4,0.19444444444444445,0.0,0.26294820717131473,0.26294820717131473,1.0,turn_right
sensory,58,147,1,0.16666666666666666,0.0,0.09561752988047809,0.09561752988047809,0.0,walk_forward
sensory,59,573,10,0.6203703703703703,0.0,0.4900398406374502,0.4900398406374502,0.0,turn_right
sensory,60,260,4,0.19444444444444445,0.0,0.26294820717131473,0.26294820717131473,1.0,turn_right
sensory,61,147,1,0.16666666666666666,0.0,0.09561752988047809,0.09561752988047809,0.0,walk_forward
sensory,62,573,10,0.6203703703703703,0.0,0.4900398406374502,0.4900398406374502,0.0,turn_right
sensory,63,260,4,0.19444444444444445,0.0,0.26294820717131473,0.26294820717131473,1.0,turn_right
sensory,64,147,1,0.16666666666666666,0.0,0.09561752988047809,0.09561752988047809,0.0,walk_forward
sensory,65,573,10,0.6203703703703703,0.0,0.4900398406374502,0.4900398406374502,0.0,turn_right
sensory,66,260,4,0.19444444444444445,0.0,0.26294820717131473,0.26294820717131473,1.0,turn_right
sensory,67,147,1,0.16666666666666666,0.0,0.09561752988047809,0.09561752988047809,0.0,walk_forward
sensory,68,573,10,0.6203703703703703,0.0,0.4900398406374502,0.4900398406374502,0.0,turn_right
sensory,69,260,4,0.19444444444444445,0.0,0.26294820717131473,0.26294820717131473,1.0,turn_right
sensory,70,147,1,0.16666666666666666,0.0,0.09561752988047809,0.09561752988047809,0.0,walk_forward
sensory,71,573,10,0.6203703703703703,0.0,0.4900398406374502,0.4900398406374502,0.0,turn_right
sensory,72,260,4,0.19444444444444445,0.0,0.26294820717131473,0.26294820717131473,1.0,turn_right
sensory,73,147,1,0.16666666666666666,0.0,0.09561752988047809,0.09561752988047809,0.0,walk_forward
sensory,74,573,10,0.6203703703703703,0.0,0.4900398406374502,0.4900398406374502,0.0,turn_right
sensory,75,260,4,0.19444444444444445,0.0,0.26294820717131473,0.26294820717131473,1.0,turn_right
sensory,76,147,1,0.16666666666666666,0.0,0.09561752988047809,0.09561752988047809,0.0,walk_forward
sensory,77,573,10,0.6203703703703703,0.0,0.4900398406374502,0.4900398406374502,0.0,turn_right
sensory,78,260,4,0.19444444444444445,0.0,0.26294820717131473,0.26294820717131473,1.0,turn_right
sensory,79,147,1,0.16666666666666666,0.0,0.09561752988047809,0.09561752988047809,0.0,walk_forward
sensory,80,573,10,0.6203703703703703,0.0,0.4900398406374502,0.4900398406374502,0.0,turn_right
sensory,81,260,4,0.19444444444444445,0.0,0.26294820717131473,0.26294820717131473,1.0,turn_right
sensory,82,147,1,0.16666666666666666,0.0,0.09561752988047809,0.09561752988047809,0.0,walk_forward
sensory,83,573,10,0.6203703703703703,0.0,0.4900398406374502,0.4900398406374502,0.0,turn_right
sensory,84,260,4,0.19444444444444445,0.0,0.26294820717131473,0.26294820717131473,1.0,turn_right
