condition,step,x,y,heading,left_sensor,right_sensor,requested_action,action,locomotion_drive,left_drive,right_drive,turn_bias,collision
left,21,25.07560898993166,12.400284652188155,0.0,0.2205005591267551,0.0,turn_right,turn_right,0.45714285714285713,0.39285714285714285,0.5853658536585366,0.1925087108013937,False
left,22,25.54529534635535,12.57173355591588,0.35,0.051138046385686566,0.0,turn_left,turn_left,0.2857142857142857,0.4107142857142857,0.14634146341463414,-0.26437282229965153,False
left,23,26.01498170277904,12.743182459643606,0.35,0.19112012237302595,0.0,walk_forward,walk_forward,0.2571428571428571,0.19642857142857142,0.2682926829268293,0.07186411149825786,False
left,24,26.51498170277904,12.743182459643606,0.0,0.17688386425597763,0.0,turn_right,turn_right,0.45714285714285713,0.39285714285714285,0.5853658536585366,0.1925087108013937,False
left,25,26.98466805920273,12.914631363371331,0.35,0.013706127311449356,0.0,turn_left,turn_left,0.2857142857142857,0.4107142857142857,0.14634146341463414,-0.26437282229965153,False
left,26,27.45435441562642,13.086080267099057,0.35,0.15005680227654744,0.0,walk_forward,walk_forward,0.2571428571428571,0.19642857142857142,0.2682926829268293,0.07186411149825786,False
left,27,27.95435441562642,13.086080267099057,0.0,0.1370025507099108,0.0,turn_right,turn_right,0.45714285714285713,0.39285714285714285,0.5853658536585366,0.1925087108013937,False
left,28,28.42404077205011,13.257529170826782,0.35,0.0,0.0,turn_left,turn_left,0.2857142857142857,0.4107142857142857,0.14634146341463414,-0.26437282229965153,False
left,29,28.8937271284738,13.428978074554507,0.35,0.11333954923953928,0.0,walk_forward,walk_forward,0.2571428571428571,0.19642857142857142,0.2682926829268293,0.07186411149825786,False
left,30,29.3937271284738,13.428978074554507,0.0,0.10176874566658176,0.0,turn_right,turn_right,0.45714285714285713,0.39285714285714285,0.5853658536585366,0.1925087108013937,False
left,31,29.86341348489749,13.600426978282233,0.35,0.0,0.0,turn_left,turn_left,0.2857142857142857,0.4107142857142857,0.14634146341463414,-0.26437282229965153,False
left,32,29.86341348489749,13.600426978282233,0.35,0.08155462279772774,0.0,walk_forward,rest,0.0,0.19642857142857142,0.2682926829268293,0.07186411149825786,True
left,33,29.86341348489749,13.600426978282233,0.35,0.08155462279772774,0.0,turn_right,rest,0.0,0.39285714285714285,0.5853658536585366,0.1925087108013937,True
left,34,29.86341348489749,13.600426978282233,0.35,0.08155462279772774,0.0,turn_left,rest,0.0,0.4107142857142857,0.14634146341463414,-0.26437282229965153,True
left,35,29.86341348489749,13.600426978282233,0.35,0.08155462279772774,0.0,walk_forward,rest,0.0,0.19642857142857142,0.2682926829268293,0.07186411149825786,True
left,36,29.86341348489749,13.600426978282233,0.35,0.08155462279772774,0.0,turn_right,rest,0.0,0.39285714285714285,0.5853658536585366,0.1925087108013937,True
left,37,29.86341348489749,13.600426978282233,0.35,0.08155462279772774,0.0,turn_left,rest,0.0,0.4107142857142857,0.14634146341463414,-0.26437282229965153,True
left,38,29.86341348489749,13.600426978282233,0.35,0.08155462279772774,0.0,walk_forward,rest,0.0,0.19642857142857142,0.2682926829268293,0.07186411149825786,True
left,39,29.86341348489749,13.600426978282233,0.35,0.08155462279772774,0.0,turn_right,rest,0.0,0.39285714285714285,0.5853658536585366,0.1925087108013937,True
left,40,29.86341348489749,13.600426978282233,0.35,0.08155462279772774,0.0,turn_left,rest,0.0,0.4107142857142857,0.14634146341463414,-0.26437282229965153,True
left,41,29.86341348489749,13.600426978282233,0.35,0.08155462279772774,0.0,walk_forward,rest,0.0,0.19642857142857142,0.2682926829268293,0.07186411149825786,True
left,42,29.86341348489749,13.600426978282233,0.35,0.08155462279772774,0.0,turn_right,rest,0.0,0.39285714285714285,0.5853658536585366,0.1925087108013937,True
left,43,29.86341348489749,13.600426978282233,0.35,0.08155462279772774,0.0,turn_left,rest,0.0,0.4107142857142857,0.14634146341463414,-0.26437282229965153,True
left,44,29.86341348489749,13.600426978282233,0.35,0.08155462279772774,0.0,walk_forward,rest,0.0,0.19642857142857142,0.2682926829268293,0.07186411149825786,True
left,45,29.86341348489749,13.600426978282233,0.35,0.08155462279772774,0.0,turn_right,rest,0.0,0.39285714285714285,0.5853658536585366,0.1925087108013937,True
left,46,29.86341348489749,13.600426978282233,0.35,0.08155462279772774,0.0,turn_left,rest,0.0,0.4107142857142857,0.14634146341463414,-0.26437282229965153,True
left,47,29.86341348489749,13.600426978282233,0.35,0.08155462279772774,0.0,walk_forward,rest,0.0,0.19642857142857142,0.2682926829268293,0.07186411149825786,True
left,48,29.86341348489749,13.600426978282233,0.35,0.08155462279772774,0.0,turn_right,rest,0.0,0.39285714285714285,0.5853658536585366,0.1925087108013937,True
left,49,29.86341348489749,13.600426978282233,0.35,0.08155462279772774,0.0,turn_left,rest,0.0,0.4107142857142857,0.14634146341463414,-0.26437282229965153,True
left,50,29.86341348489749,13.600426978282233,0.35,0.08155462279772774,0.0,walk_forward,rest,0.0,0.19642857142857142,0.2682926829268293,0.07186411149825786,True
left,51,29.86341348489749,13.600426978282233,0.35,0.08155462279772774,0.0,turn_right,rest,0.0,0.39285714285714285,0.5853658536585366,0.1925087108013937,True
left,52,29.86341348489749,13.600426978282233,0.35,0.08155462279772774,0.0,turn_left,rest,0.0,0.4107142857142857,0.14634146341463414,-0.26437282229965153,True
left,53,29.86341348489749,13.600426978282233,0.35,0.08155462279772774,0.0,walk_forward,rest,0.0,0.19642857142857142,0.2682926829268293,0.07186411149825786,True
left,54,29.86341348489749,13.600426978282233,0.35,0.08155462279772774,0.0,turn_right,rest,0.0,0.39285714285714285,0.5853658536585366,0.1925087108013937,True
left,55,29.86341348489749,13.600426978282233,0.35,0.08155462279772774,0.0,turn_left,rest,0.0,0.4107142857142857,0.14634146341463414,-0.26437282229965153,True
left,56,29.86341348489749,13.600426978282233,0.35,0.08155462279772774,0.0,walk_forward,rest,0.0,0.19642857142857142,0.2682926829268293,0.07186411149825786,True
left,57,29.86341348489749,13.600426978282233,0.35,0.08155462279772774,0.0,turn_right,rest,0.0,0.39285714285714285,0.5853658536585366,0.1925087108013937,True
left,58,29.86341348489749,13.600426978282233,0.35,0.08155462279772774,0.0,turn_left,rest,0.0,0.4107142857142857,0.14634146341463414,-0.26437282229965153,True
left,59,29.86341348489749,13.600426978282233,0.35,0.08155462279772774,0.0,walk_forward,rest,0.0,0.19642857142857142,0.2682926829268293,0.07186411149825786,True
left,60,29.86341348489749,13.600426978282233,0.35,0.08155462279772774,0.0,turn_right,rest,0.0,0.39285714285714285,0.5853658536585366,0.1925087108013937,True
left,61,29.86341348489749,13.600426978282233,0.35,0.08155462279772774,0.0,turn_left,rest,0.0,0.4107142857142857,0.14634146341463414,-0.26437282229965153,True
left,62,29.86341348489749,13.600426978282233,0.35,0.08155462279772774,0.0,walk_forward,rest,0.0,0.19642857142857142,0.2682926829268293,0.07186411149825786,True
left,63,29.86341348489749,13.600426978282233,0.35,0.08155462279772774,0.0,turn_right,rest,0.0,0.39285714285714285,0.5853658536585366,0.1925087108013937,True
left,64,29.86341348489749,13.600426978282233,0.35,0.08155462279772774,0.0,turn_left,rest,0.0,0.4107142857142857,0.14634146341463414,-0.26437282229965153,True
left,65,29.86341348489749,13.600426978282233,0.35,0.08155462279772774,0.0,walk_forward,rest,0.0,0.19642857142857142,0.2682926829268293,0.07186411149825786,True
left,66,29.86341348489749,13.600426978282233,0.35,0.08155462279772774,0.0,turn_right,rest,0.0,0.39285714285714285,0.5853658536585366,0.1925087108013937,True
left,67,29.86341348489749,13.600426978282233,0.35,0.08155462279772774,0.0,turn_left,rest,0.0,0.4107142857142857,0.14634146341463414,-0.26437282229965153,True
left,68,29.86341348489749,13.600426978282233,0.35,0.08155462279772774,0.0,walk_forward,rest,0.0,0.19642857142857142,0.2682926829268293,0.07186411149825786,True
left,69,29.86341348489749,13.600426978282233,0.35,0.08155462279772774,0.0,turn_right,rest,0.0,0.39285714285714285,0.5853658536585366,0.1925087108013937,True
left,70,29.86341348489749,13.600426978282233,0.35,0.08155462279772774,0.0,turn_left,rest,0.0,0.4107142857142857,0.14634146341463414,-0.26437282229965153,True
left,71,29.86341348489749,13.600426978282233,0.35,0.08155462279772774,0.0,walk_forward,rest,0.0,0.19642857142857142,0.2682926829268293,0.07186411149825786,True
left,72,29.86341348489749,13.600426978282233,0.35,0.08155462279772774,0.0,turn_right,rest,0.0,0.39285714285714285,0.5853658536585366,0.1925087108013937,True
left,73,29.86341348489749,13.600426978282233,0.35,0.08155462279772774,0.0,turn_left,rest,0.0,0.4107142857142857,0.14634146341463414,-0.26437282229965153,True
left,74,29.86341348489749,13.600426978282233,0.35,0.08155462279772774,0.0,walk_forward,rest,0.0,0.19642857142857142,0.2682926829268293,0.07186411149825786,True
left,75,29.86341348489749,13.600426978282233,0.35,0.08155462279772774,0.0,turn_right,rest,0.0,0.39285714285714285,0.5853658536585366,0.1925087108013937,True
left,76,29.86341348489749,13.600426978282233,0.35,0.08155462279772774,0.0,turn_left,rest,0.0,0.4107142857142857,0.14634146341463414,-0.26437282229965153,True
left,77,29.86341348489749,13.600426978282233,0.35,0.08155462279772774,0.0,walk_forward,rest,0.0,0.19642857142857142,0.2682926829268293,0.07186411149825786,True
left,78,29.86341348489749,13.600426978282233,0.35,0.08155462279772774,0.0,turn_right,rest,0.0,0.39285714285714285,0.5853658536585366,0.1925087108013937,True
left,79,29.86341348489749,13.600426978282233,0.35,0.08155462279772774,0.0,turn_left,rest,0.0,0.4107142857142857,0.14634146341463414,-0.26437282229965153,True
left,80,29.86341348489749,13.600426978282233,0.35,0.08155462279772774,0.0,walk_forward,rest,0.0,0.19642857142857142,0.2682926829268293,0.07186411149825786,True
left,81,29.86341348489749,13.600426978282233,0.35,0.08155462279772774,0.0,turn_right,rest,0.0,0.39285714285714285,0.5853658536585366,0.1925087108013937,True
left,82,29.86341348489749,13.600426978282233,0.35,0.08155462279772774,0.0,turn_left,rest,0.0,0.4107142857142857,0.14634146341463414,-0.26437282229965153,True
left,83,29.86341348489749,13.600426978282233,0.35,0.08155462279772774,0.0,walk_forward,rest,0.0,0.19642857142857142,0.2682926829268293,0.07186411149825786,True
left,84,29.86341348489749,13.600426978282233,0.35,0.08155462279772774,0.0,turn_right,rest,0.0,0.39285714285714285,0.5853658536585366,0.1925087108013937,True
left,85,29.86341348489749,13.600426978282233,0.35,0.08155462279772774,0.0,turn_left,rest,0.0,0.4107142857142857,0.14634146341463414,-0.26437282229965153,True
left,86,29.86341348489749,13.600426978282233,0.35,0.08155462279772774,0.0,walk_forward,rest,0.0,0.19642857142857142,0.2682926829268293,0.07186411149825786,True
left,87,29.86341348489749,13.600426978282233,0.35,0.08155462279772774,0.0,turn_right,rest,0.0,0.39285714285714285,0.5853658536585366,0.1925087108013937,True
left,88,29.86341348489749,13.600426978282233,0.35,0.08155462279772774,0.0,turn_left,rest,0.0,0.4107142857142857,0.14634146341463414,-0.26437282229965153,True
left,89,29.86341348489749,13.600426978282233,0.35,0.08155462279772774,0.0,walk_forward,rest,0.0,0.19642857142857142,0.2682926829268293,0.07186411149825786,True
left,90,29.86341348489749,13.600426978282233,0.35,0.08155462279772774,0.0,turn_right,rest,0.0,0.39285714285714285,0.5853658536585366,0.1925087108013937,True
left,91,29.86341348489749,13.600426978282233,0.35,0.08155462279772774,0.0,turn_left,rest,0.0,0.4107142857142857,0.14634146341463414,-0.26437282229965153,True
left,92,29.86341348489749,13.600426978282233,0.35,0.08155462279772774,0.0,walk_forward,rest,0.0,0.19642857142857142,0.2682926829268293,0.07186411149825786,True
left,93,29.86341348489749,13.600426978282233,0.35,0.08155462279772774,0.0,turn_right,rest,0.0,0.39285714285714285,0.5853658536585366,0.1925087108013937,True
left,94,29.86341348489749,13.600426978282233,0.35,0.08155462279772774,0.0,turn_left,rest,0.0,0.4107142857142857,0.14634146341463414,-0.26437282229965153,True
left,95,29.86341348489749,13.600426978282233,0.35,0.08155462279772774,0.0,walk_forward,rest,0.0,0.19642857142857142,0.2682926829268293,0.07186411149825786,True
left,96,29.86341348489749,13.600426978282233,0.35,0.08155462279772774,0.0,turn_right,rest,0.0,0.39285714285714285,0.5853658536585366,0.1925087108013937,True
left,97,29.86341348489749,13.600426978282233,0.35,0.08155462279772774,0.0,turn_left,rest,0.0,0.4107142857142857,0.14634146341463414,-0.26437282229965153,True
left,98,29.86341348489749,13.600426978282233,0.35,0.08155462279772774,0.0,walk_forward,rest,0.0,0.19642857142857142,0.2682926829268293,0.07186411149825786,True
left,99,29.86341348489749,13.600426978282233,0.35,0.08155462279772774,0.0,turn_right,rest,0.0,0.39285714285714285,0.5853658536585366,0.1925087108013937,True
right,0,15.46968635642369,9.828551096272275,-0.35,0.0,0.4714045207910318,turn_right,turn_right,0.0761904761904762,0.017857142857142856,0.17073170731707318,0.15287456445993033,False
right,1,15.852107450065935,9.506442252653429,-0.7,0.0,0.5950870704794106,turn_right,turn_right,0.34285714285714286,0.25,0.5121951219512195,0.2621951219512195,False
right,2,16.321793806489623,9.334993348925703,-0.35,0.0,0.6714584244515118,turn_left,turn_left,0.29523809523809524,0.32142857142857145,0.21951219512195122,-0.10191637630662023,False
right,3,16.791480162913313,9.163544445197978,-0.35,0.0,0.5750639598758701,walk_forward,walk_forward,0.2761904761904762,0.2857142857142857,0.2682926829268293,-0.017421602787456414,False
right,4,17.173901256555556,8.841435601579132,-0.7,0.0,0.5571645578436584,turn_right,turn_right,0.42857142857142855,0.39285714285714285,0.5121951219512195,0.11933797909407667,False
right,5,17.643587612979246,8.669986697851407,-0.35,0.0,0.6597134201215605,turn_left,turn_left,0.29523809523809524,0.32142857142857145,0.21951219512195122,-0.10191637630662023,False
right,6,18.113273969402936,8.498537794123681,-0.35,0.0,0.5193994047008417,walk_forward,walk_forward,0.2761904761904762,0.2857142857142857,0.2682926829268293,-0.017421602787456414,False
right,7,18.49569506304518,8.176428950504835,-0.7,0.0,0.4932091329692151,turn_right,turn_right,0.42857142857142855,0.39285714285714285,0.5121951219512195,0.11933797909407667,False
