scenario,step,x,y,heading,left_sensor,right_sensor,locomotion_drive,left_drive,right_drive,turn_bias,action,collision,requested_action
light_source,0,5.0,5.0,0.0,0.282842712474619,0.04040610178208848,0.0380952380952381,0.017857142857142856,0.04878048780487805,0.030923344947735194,idle,False,idle
light_source,1,5.469686356423689,5.171448903727725,0.35,0.282842712474619,0.04040610178208848,0.21904761904761905,0.3392857142857143,0.07317073170731707,-0.2661149825783972,turn_left,False,turn_left
light_source,2,5.939372712847378,5.342897807455451,0.35,0.26471181481895995,0.13983629017792823,0.3333333333333333,0.32142857142857145,0.3170731707317073,-0.004355400696864131,walk_forward,False,walk_forward
light_source,3,6.439372712847378,5.342897807455451,0.0,0.27766154529833015,0.14450585968964377,0.3904761904761905,0.26785714285714285,0.5609756097560976,0.29311846689895477,turn_right,False,turn_right
light_source,4,6.909059069271067,5.514346711183176,0.35,0.3220665316493902,0.037847101777235666,0.2761904761904762,0.4107142857142857,0.12195121951219512,-0.2887630662020906,turn_left,False,turn_left
light_source,5,7.378745425694756,5.6857956149109015,0.35,0.302684647463928,0.1500486465211726,0.3333333333333333,0.32142857142857145,0.3170731707317073,-0.004355400696864131,walk_forward,False,walk_forward
light_source,6,7.878745425694756,5.6857956149109015,0.0,0.3158890668427051,0.15383514637278226,0.3904761904761905,0.26785714285714285,0.5609756097560976,0.29311846689895477,turn_right,False,turn_right
light_source,7,8.348431782118446,5.857244518638627,0.35,0.3609446502542447,0.03223079230691325,0.2761904761904762,0.4107142857142857,0.12195121951219512,-0.2887630662020906,turn_left,False,turn_left
light_source,8,8.818118138542136,6.028693422366352,0.35,0.3413863804892105,0.15710048563877618,0.3333333333333333,0.32142857142857145,0.3170731707317073,-0.004355400696864131,walk_forward,False,walk_forward
light_source,9,9.318118138542136,6.028693422366352,0.0,0.3548482703649237,0.15982112540281404,0.3904761904761905,0.26785714285714285,0.5609756097560976,0.29311846689895477,turn_right,False,turn_right
light_source,10,9.787804494965826,6.200142326094078,0.35,0.39925542581789797,0.023031468091184237,0.2761904761904762,0.4107142857142857,0.12195121951219512,-0.2887630662020906,turn_left,False,turn_left
light_source,11,10.257490851389516,6.371591229821803,0.35,0.38077640581025574,0.1603808050743918,0.3333333333333333,0.32142857142857145,0.3170731707317073,-0.004355400696864131,walk_forward,False,walk_forward
light_source,12,10.757490851389516,6.371591229821803,0.0,0.39448356301608917,0.16180816855572477,0.3904761904761905,0.26785714285714285,0.5609756097560976,0.29311846689895477,turn_right,False,turn_right
light_source,13,11.227177207813206,6.543040133549528,0.35,0.436679772550429,0.009621685742763586,0.2761904761904762,0.4107142857142857,0.12195121951219512,-0.2887630662020906,turn_left,False,turn_left
light_source,14,11.696863564236896,6.714489037277254,0.35,0.4207482531184889,0.1591395859870063,0.3333333333333333,0.32142857142857145,0.3170731707317073,-0.004355400696864131,walk_forward,False,walk_forward
light_source,15,12.196863564236896,6.714489037277254,0.0,0.43466277551858434,0.15899090624593673,0.3904761904761905,0.26785714285714285,0.5609756097560976,0.29311846689895477,turn_right,False,turn_right
light_source,16,12.666549920660586,6.885937941004979,0.35,0.4727588359307558,0.0,0.2761904761904762,0.4107142857142857,0.12195121951219512,-0.2887630662020906,turn_left,False,turn_left
light_source,17,13.136236277084276,7.057386844732704,0.35,0.46108903921097855,0.15245941186074785,0.3333333333333333,0.32142857142857145,0.3170731707317073,-0.004355400696864131,walk_forward,False,walk_forward
light_source,18,13.636236277084276,7.057386844732704,0.0,0.47513033404250166,0.1503848894091793,0.3904761904761905,0.26785714285714285,0.5609756097560976,0.29311846689895477,turn_right,False,turn_right
light_source,19,14.105922633507966,7.22883574846043,0.35,0.5068340307495991,0.0,0.2761904761904762,0.4107142857142857,0.12195121951219512,-0.2887630662020906,turn_left,False,turn_left
light_source,20,14.575608989931656,7.400284652188155,0.35,0.5014172829712747,0.13922887136353665,0.3333333333333333,0.32142857142857145,0.3170731707317073,-0.004355400696864131,walk_forward,False,walk_forward
light_source,21,15.075608989931656,7.400284652188155,0.0,0.5154356463395122,0.13480116427447247,0.3904761904761905,0.26785714285714285,0.5609756097560976,0.29311846689895477,turn_right,False,turn_right
light_source,22,15.545295346355346,7.5717335559158805,0.35,0.5379642271564155,0.0,0.2761904761904762,0.4107142857142857,0.12195121951219512,-0.2887630662020906,turn_left,False,turn_left
light_source,23,16.014981702779036,7.743182459643606,0.35,0.5410897867011852,0.11812798572410876,0.3333333333333333,0.32142857142857145,0.3170731707317073,-0.004355400696864131,walk_forward,False,walk_forward
