scenario,initial_distance,final_distance,min_distance,final_x,final_y,final_heading,mean_locomotion,mean_turn_bias,turn_count,collision_count,collision_rate,movement_fraction
light_source,25.0,10.26553136300398,9.844286021973968,29.939022474829144,11.000711630470388,0.35,0.17257142857142857,0.0005357142857143038,35,47,0.47,0.52
obstacle,20.0,15.5,15.5,9.5,5.0,0.0,0.029142857142857147,0.000862369337979094,0,91,0.91,0.09
left_stimulus,15.0,18.73155961206936,14.4836263969385,29.86341348489749,13.600426978282233,0.35,0.10238095238095238,-0.00019599303135887626,21,68,0.68,0.31
right_stimulus,10.0,15.108062681466865,8.892349203469916,29.922152965028097,2.36281799456389,-0.7,0.11133333333333333,0.002957317073170733,24,66,0.66,0.34
front_stimulus,10.0,7.003174924083545,3.430624514428524,29.56027704913439,4.685083984440514,-0.35,0.10095238095238095,0.0013501742160279113,1,69,0.69,0.31
