requested_action,count,mean_delta_heading,mean_delta_x,mean_delta_y,mean_delta_distance,mean_turn_bias,collision_rate
turn_left,66,0.11666666666666665,0.1565621188078966,-1.3457248783335231e-17,0.06066205799071043,-0.19314882272199344,0.6666666666666666
turn_right,66,-0.11666666666666665,0.1452886836925291,-0.05856524429433561,0.058493120436743436,0.15808784711223736,0.6666666666666666
walk_forward,165,0.0,0.1423291989162697,-0.031172527950495528,0.006411778754435019,0.01487963256255942,0.696969696969697
