scenario,signal_pair,lag,correlation
front,sensor_change_to_motor_change,0,0.1062377875629287
front,sensor_change_to_motor_change,1,-0.08318292000319712
front,sensor_change_to_motor_change,2,0.09478475737063252
front,sensor_change_to_motor_change,3,-0.017522592600134872
front,sensor_change_to_motor_change,4,-0.08471342507377805
front,sensor_change_to_motor_change,5,0.09634385440455738
front,sensor_change_to_motor_change,6,-0.01784946808417586
front,sensor_change_to_motor_change,7,-0.0863314446958555
front,sensor_change_to_motor_change,8,0.09798350129558742
front,sensor_change_to_motor_change,9,-0.01819534681729108
front,sensor_change_to_motor_change,10,-0.08804563305909151
front,sensor_change_to_action_change,0,0.7681768164876521
front,sensor_change_to_action_change,1,0.0
front,sensor_change_to_action_change,2,0.0
front,sensor_change_to_action_change,3,0.0
front,sensor_change_to_action_change,4,0.0
front,sensor_change_to_action_change,5,0.0
front,sensor_change_to_action_change,6,0.0
front,sensor_change_to_action_change,7,0.0
front,sensor_change_to_action_change,8,0.0
front,sensor_change_to_action_change,9,0.0
front,sensor_change_to_action_change,10,0.0
front,action_change_to_heading_change,0,0.0
front,action_change_to_heading_change,1,0.0
front,action_change_to_heading_change,2,0.0
front,action_change_to_heading_change,3,0.0
front,action_change_to_heading_change,4,0.0
front,action_change_to_heading_change,5,0.0
front,action_change_to_heading_change,6,0.0
front,action_change_to_heading_change,7,0.0
front,action_change_to_heading_change,8,0.0
front,action_change_to_heading_change,9,0.0
front,action_change_to_heading_change,10,0.0
front,sensor_asymmetry_to_turn_bias,0,-0.004988306597466014
front,sensor_asymmetry_to_turn_bias,1,-0.005204261718145305
front,sensor_asymmetry_to_turn_bias,2,0.0022459352375911374
front,sensor_asymmetry_to_turn_bias,3,-0.005087331716374438
front,sensor_asymmetry_to_turn_bias,4,-0.0053386764925868685
front,sensor_asymmetry_to_turn_bias,5,0.002060935473189704
front,sensor_asymmetry_to_turn_bias,6,-0.0051924984725421645
front,sensor_asymmetry_to_turn_bias,7,-0.005482889844550374
front,sensor_asymmetry_to_turn_bias,8,0.0018535597787107333
front,sensor_asymmetry_to_turn_bias,9,-0.005304469149641499
front,sensor_asymmetry_to_turn_bias,10,-0.005638076361407234
front,turn_bias_to_heading_change,0,0.0
front,turn_bias_to_heading_change,1,0.0
front,turn_bias_to_heading_change,2,0.0
front,turn_bias_to_heading_change,3,0.0
front,turn_bias_to_heading_change,4,0.0
front,turn_bias_to_heading_change,5,0.0
front,turn_bias_to_heading_change,6,0.0
front,turn_bias_to_heading_change,7,0.0
front,turn_bias_to_heading_change,8,0.0
front,turn_bias_to_heading_change,9,0.0
front,turn_bias_to_heading_change,10,0.0
