target_side,step,x,y,heading,distance_to_target,heading_error,left_sensor,right_sensor,requested_action,action,locomotion_drive,left_drive,right_drive,turn_bias,collision
left,0,15.0,10.0,0.0,10.0,1.5707963267948966,0.4714045207910318,0.0,idle,idle,0.01904761904761905,0.017857142857142856,0.0,-0.017857142857142856,False
left,1,15.46968635642369,10.171448903727725,0.35,9.839767371510645,1.2685479538457844,0.4714045207910318,0.0,turn_left,turn_left,0.21904761904761905,0.3392857142857143,0.07317073170731707,-0.2661149825783972,False
left,2,15.93937271284738,10.34289780745545,0.35,9.702682301863284,1.3177639911034404,0.5950870704794106,0.0,walk_forward,walk_forward,0.2571428571428571,0.19642857142857142,0.2682926829268293,0.07186411149825786,False
left,3,16.43937271284738,10.34289780745545,0.0,9.76378085393862,1.7187551890365642,0.582944818186003,0.0,turn_right,turn_right,0.45714285714285713,0.39285714285714285,0.5853658536585366,0.1925087108013937,False
left,4,16.90905906927107,10.514346711183176,0.35,9.675852667626122,1.4194007488574196,0.401445818601029,0.0,turn_left,turn_left,0.2857142857142857,0.4107142857142857,0.14634146341463414,-0.26437282229965153,False
left,5,17.37874542569476,10.685795614910901,0.35,9.613159372832468,1.4708405317071218,0.545813742954896,0.0,walk_forward,walk_forward,0.2571428571428571,0.19642857142857142,0.2682926829268293,0.07186411149825786,False
left,6,17.87874542569476,10.685795614910901,0.0,9.748927046253423,1.8705537301778705,0.5260750130161596,0.0,turn_right,turn_right,0.45714285714285713,0.39285714285714285,0.5853658536585366,0.1925087108013937,False
left,7,18.34843178211845,10.857244518638627,0.35,9.736630484488172,1.5718639076468084,0.3150899056955253,0.0,turn_left,turn_left,0.2857142857142857,0.4107142857142857,0.14634146341463414,-0.26437282229965153,False
left,8,18.81811813854214,11.028693422366352,0.35,9.749993222036478,1.623168469345703,0.47710203808709706,0.0,walk_forward,walk_forward,0.2571428571428571,0.19642857142857142,0.2682926829268293,0.07186411149825786,False
left,9,19.31811813854214,11.028693422366352,0.0,9.956429378461909,2.0193929927477083,0.4516571580357024,0.0,turn_right,turn_right,0.45714285714285713,0.39285714285714285,0.5853658536585366,0.1925087108013937,False
left,10,19.78780449496583,11.200142326094078,0.35,10.018012126316076,1.7190811383285038,0.2207932849066761,0.0,turn_left,turn_left,0.2857142857142857,0.4107142857142857,0.14634146341463414,-0.26437282229965153,False
left,11,20.25749085138952,11.371591229821803,0.35,10.103991684365765,1.7680430357323957,0.3962278918037779,0.0,walk_forward,walk_forward,0.2571428571428571,0.19642857142857142,0.2682926829268293,0.07186411149825786,False
left,12,20.75749085138952,11.371591229821803,0.0,10.372952270647062,2.1592175112469416,0.36795945812990466,0.0,turn_right,turn_right,0.45714285714285713,0.39285714285714285,0.5853658536585366,0.1925087108013937,False
left,13,21.22717720781321,11.543040133549528,0.35,10.502280997967171,1.8554959812127385,0.12803748133642678,0.0,turn_left,turn_left,0.2857142857142857,0.4107142857142857,0.14634146341463414,-0.26437282229965153,False
left,14,21.6968635642369,11.714489037277254,0.35,10.653528688251727,1.9005548025881098,0.3119884746928655,0.0,walk_forward,walk_forward,0.2571428571428571,0.19642857142857142,0.2682926829268293,0.07186411149825786,False
left,15,22.1968635642369,11.714489037277254,0.0,10.974722642310349,2.2859947593171674,0.2837719971155836,0.0,turn_right,turn_right,0.45714285714285713,0.39285714285714285,0.5853658536585366,0.1925087108013937,False
left,16,22.66654992066059,11.885937941004979,0.35,11.163063682663617,1.9778437371126651,0.04448242241574674,0.0,turn_left,turn_left,0.2857142857142857,0.4107142857142857,0.14634146341463414,-0.26437282229965153,False
left,17,23.13623627708428,12.057386844732704,0.35,11.370287792785518,2.0182360087231594,0.2319381723736369,0.0,walk_forward,walk_forward,0.2571428571428571,0.19642857142857142,0.2682926829268293,0.07186411149825786,False
left,18,23.63623627708428,12.057386844732704,0.0,11.733272381047481,2.3980079370308194,0.20589666443580848,0.0,turn_right,turn_right,0.45714285714285713,0.39285714285714285,0.5853658536585366,0.1925087108013937,False
left,19,24.10592263350797,12.22883574846043,0.35,11.971166226890315,2.085117228803333,0.0,0.0,turn_left,turn_left,0.2857142857142857,0.4107142857142857,0.14634146341463414,-0.26437282229965153,False
left,20,24.57560898993166,12.400284652188155,0.35,12.224891038198537,2.1207335420187863,0.16091906911687917,0.0,walk_forward,walk_forward,0.2571428571428571,0.19642857142857142,0.2682926829268293,0.07186411149825786,False
left,21,25.07560898993166,12.400284652188155,0.0,12.620363302447302,2.4953652423843855,0.13822590671346358,0.0,turn_right,turn_right,0.45714285714285713,0.39285714285714285,0.5853658536585366,0.1925087108013937,False
left,22,25.54529534635535,12.57173355591588,0.35,12.898930045014195,2.1779096028960523,0.0,0.0,turn_left,turn_left,0.2857142857142857,0.4107142857142857,0.14634146341463414,-0.26437282229965153,False
left,23,26.01498170277904,12.743182459643606,0.35,13.190573252386768,2.20904665130852,0.1010912125567253,0.0,walk_forward,walk_forward,0.2571428571428571,0.19642857142857142,0.2682926829268293,0.07186411149825786,False
left,24,26.51498170277904,12.743182459643606,0.0,13.610885512315512,2.579258020051911,0.08215181150691914,0.0,turn_right,turn_right,0.45714285714285713,0.39285714285714285,0.5853658536585366,0.1925087108013937,False
left,25,26.98466805920273,12.914631363371331,0.35,13.922453706376448,2.257666836256469,0.0,0.0,turn_left,turn_left,0.2857142857142857,0.4107142857142857,0.14634146341463414,-0.26437282229965153,False
left,26,27.45435441562642,13.086080267099057,0.35,14.244761492669168,2.2848111740479378,0.05271737315033721,0.0,walk_forward,walk_forward,0.2571428571428571,0.19642857142857142,0.2682926829268293,0.07186411149825786,False
left,27,27.95435441562642,13.086080267099057,0.0,14.683922650254488,2.6513390422270877,0.037456876051009086,0.0,turn_right,turn_right,0.45714285714285713,0.39285714285714285,0.5853658536585366,0.1925087108013937,False
left,28,28.42404077205011,13.257529170826782,0.35,15.02217639131945,2.3261320104092986,0.0,0.0,turn_left,turn_left,0.2857142857142857,0.4107142857142857,0.14634146341463414,-0.26437282229965153,False
left,29,28.8937271284738,13.428978074554507,0.35,15.36925446029098,2.349819221470225,0.01500675667652459,0.0,walk_forward,walk_forward,0.2571428571428571,0.19642857142857142,0.2682926829268293,0.07186411149825786,False
left,30,29.3937271284738,13.428978074554507,0.0,15.822696034293523,2.713330076919704,0.003109143419222809,0.0,turn_right,turn_right,0.45714285714285713,0.39285714285714285,0.5853658536585366,0.1925087108013937,False
left,31,29.86341348489749,13.600426978282233,0.35,16.1825707254234,2.3850231156121886,0.0,0.0,turn_left,turn_left,0.2857142857142857,0.4107142857142857,0.14634146341463414,-0.26437282229965153,False
left,32,29.86341348489749,13.600426978282233,0.35,16.1825707254234,2.3850231156121886,0.0,0.0,walk_forward,rest,0.0,0.19642857142857142,0.2682926829268293,0.07186411149825786,True
left,33,29.86341348489749,13.600426978282233,0.35,16.1825707254234,2.3850231156121886,0.0,0.0,turn_right,rest,0.0,0.39285714285714285,0.5853658536585366,0.1925087108013937,True
left,34,29.86341348489749,13.600426978282233,0.35,16.1825707254234,2.3850231156121886,0.0,0.0,turn_left,rest,0.0,0.4107142857142857,0.14634146341463414,-0.26437282229965153,True
left,35,29.86341348489749,13.600426978282233,0.35,16.1825707254234,2.3850231156121886,0.0,0.0,walk_forward,rest,0.0,0.19642857142857142,0.2682926829268293,0.07186411149825786,True
left,36,29.86341348489749,13.600426978282233,0.35,16.1825707254234,2.3850231156121886,0.0,0.0,turn_right,rest,0.0,0.39285714285714285,0.5853658536585366,0.1925087108013937,True
