target_side,steps,initial_distance,final_distance,min_distance,distance_change,distance_reduction,initial_heading_error,final_heading_error,turn_count,movement_fraction,collision_rate,mean_turn_bias,mean_locomotion
left,100,10.0,16.1825707254234,9.613159372832468,6.1825707254234,-6.1825707254234,1.5707963267948966,2.3850231156121886,21,0.31,0.68,-0.00019599303135887626,0.10238095238095238
right,100,10.0,15.108062681466865,8.892349203469916,5.1080626814668655,-5.1080626814668655,-1.5707963267948966,-2.28455347825858,24,0.34,0.66,0.002957317073170733,0.11133333333333333
front,100,10.0,7.003174924083545,3.430624514428524,-2.9968250759164548,2.9968250759164548,0.0,2.6299250802667236,1,0.31,0.69,0.0013501742160279113,0.10095238095238095
