scenario,step,x,y,heading,target_x,target_y,distance_to_target,heading_error,abs_heading_error,left_drive,right_drive,turn_bias,requested_action,action,collision
left,0,15.0,10.0,0.0,15.0,20.0,10.0,1.5707963267948966,1.5707963267948966,0.017857142857142856,0.0,-0.017857142857142856,idle,idle,False
left,1,15.46968635642369,10.171448903727725,0.35,15.0,20.0,9.839767371510645,1.2685479538457844,1.2685479538457844,0.3392857142857143,0.07317073170731707,-0.2661149825783972,turn_left,turn_left,False
left,2,15.93937271284738,10.34289780745545,0.35,15.0,20.0,9.702682301863284,1.3177639911034404,1.3177639911034404,0.19642857142857142,0.2682926829268293,0.07186411149825786,walk_forward,walk_forward,False
left,3,16.43937271284738,10.34289780745545,0.0,15.0,20.0,9.76378085393862,1.7187551890365642,1.7187551890365642,0.39285714285714285,0.5853658536585366,0.1925087108013937,turn_right,turn_right,False
left,4,16.90905906927107,10.514346711183176,0.35,15.0,20.0,9.675852667626122,1.4194007488574196,1.4194007488574196,0.4107142857142857,0.14634146341463414,-0.26437282229965153,turn_left,turn_left,False
left,5,17.37874542569476,10.685795614910901,0.35,15.0,20.0,9.613159372832468,1.4708405317071218,1.4708405317071218,0.19642857142857142,0.2682926829268293,0.07186411149825786,walk_forward,walk_forward,False
left,6,17.87874542569476,10.685795614910901,0.0,15.0,20.0,9.748927046253423,1.8705537301778705,1.8705537301778705,0.39285714285714285,0.5853658536585366,0.1925087108013937,turn_right,turn_right,False
left,7,18.34843178211845,10.857244518638627,0.35,15.0,20.0,9.736630484488172,1.5718639076468084,1.5718639076468084,0.4107142857142857,0.14634146341463414,-0.26437282229965153,turn_left,turn_left,False
left,8,18.81811813854214,11.028693422366352,0.35,15.0,20.0,9.749993222036478,1.623168469345703,1.623168469345703,0.19642857142857142,0.2682926829268293,0.07186411149825786,walk_forward,walk_forward,False
left,9,19.31811813854214,11.028693422366352,0.0,15.0,20.0,9.956429378461909,2.0193929927477083,2.0193929927477083,0.39285714285714285,0.5853658536585366,0.1925087108013937,turn_right,turn_right,False
left,10,19.78780449496583,11.200142326094078,0.35,15.0,20.0,10.018012126316076,1.7190811383285038,1.7190811383285038,0.4107142857142857,0.14634146341463414,-0.26437282229965153,turn_left,turn_left,False
left,11,20.25749085138952,11.371591229821803,0.35,15.0,20.0,10.103991684365765,1.7680430357323957,1.7680430357323957,0.19642857142857142,0.2682926829268293,0.07186411149825786,walk_forward,walk_forward,False
left,12,20.75749085138952,11.371591229821803,0.0,15.0,20.0,10.372952270647062,2.1592175112469416,2.1592175112469416,0.39285714285714285,0.5853658536585366,0.1925087108013937,turn_right,turn_right,False
left,13,21.22717720781321,11.543040133549528,0.35,15.0,20.0,10.502280997967171,1.8554959812127385,1.8554959812127385,0.4107142857142857,0.14634146341463414,-0.26437282229965153,turn_left,turn_left,False
left,14,21.6968635642369,11.714489037277254,0.35,15.0,20.0,10.653528688251727,1.9005548025881098,1.9005548025881098,0.19642857142857142,0.2682926829268293,0.07186411149825786,walk_forward,walk_forward,False
left,15,22.1968635642369,11.714489037277254,0.0,15.0,20.0,10.974722642310349,2.2859947593171674,2.2859947593171674,0.39285714285714285,0.5853658536585366,0.1925087108013937,turn_right,turn_right,False
