scenario,step,sensor_asymmetry,delta_sensor_asymmetry,turn_bias,delta_turn_bias,action_code,action_changed,delta_heading,delta_x,delta_y,delta_distance,collision
left,1,0.4714045207910318,0.0,-0.2661149825783972,-0.24825783972125437,-1.0,True,0.35,0.46968635642368994,0.17144890372772537,-0.16023262848935538,False
left,2,0.5950870704794106,0.12368254968837877,0.07186411149825786,0.33797909407665505,0.5,True,0.0,0.46968635642368994,0.17144890372772537,-0.13708506964736067,False
left,3,0.582944818186003,-0.012142252293407596,0.1925087108013937,0.12064459930313584,1.0,True,-0.35,0.5,0.0,0.06109855207533599,False
left,4,0.401445818601029,-0.18149899958497395,-0.26437282229965153,-0.45688153310104523,-1.0,True,0.35,0.46968635642368994,0.17144890372772537,-0.08792818631249766,False
left,5,0.545813742954896,0.14436792435386703,0.07186411149825786,0.3362369337979094,0.5,True,0.0,0.46968635642368994,0.17144890372772537,-0.06269329479365382,False
left,6,0.5260750130161596,-0.019738729938736488,0.1925087108013937,0.12064459930313584,1.0,True,-0.35,0.5,0.0,0.13576767342095408,False
left,7,0.3150899056955253,-0.21098510732063425,-0.26437282229965153,-0.45688153310104523,-1.0,True,0.35,0.46968635642368994,0.17144890372772537,-0.012296561765250402,False
left,8,0.47710203808709706,0.16201213239157175,0.07186411149825786,0.3362369337979094,0.5,True,0.0,0.46968635642368994,0.17144890372772537,0.013362737548305859,False
left,9,0.4516571580357024,-0.02544488005139467,0.1925087108013937,0.12064459930313584,1.0,True,-0.35,0.5,0.0,0.2064361564254309,False
left,10,0.2207932849066761,-0.2308638731290263,-0.26437282229965153,-0.45688153310104523,-1.0,True,0.35,0.46968635642368994,0.17144890372772537,0.06158274785416751,False
left,11,0.3962278918037779,0.17543460689710177,0.07186411149825786,0.3362369337979094,0.5,True,0.0,0.46968635642368994,0.17144890372772537,0.08597955804968826,False
left,12,0.36795945812990466,-0.028268433673873217,0.1925087108013937,0.12064459930313584,1.0,True,-0.35,0.5,0.0,0.26896058628129715,False
left,13,0.12803748133642678,-0.23992197679347788,-0.26437282229965153,-0.45688153310104523,-1.0,True,0.35,0.46968635642368994,0.17144890372772537,0.12932872732010914,False
left,14,0.3119884746928655,0.18395099335643872,0.07186411149825786,0.3362369337979094,0.5,True,0.0,0.46968635642368994,0.17144890372772537,0.1512476902845563,False
