scenario,initial_distance,final_distance,distance_reduction,initial_heading_error,final_heading_error,min_heading_error,mean_abs_heading_error,turn_count,movement_fraction,collision_rate
left,10.0,16.1825707254234,-6.1825707254234,1.5707963267948966,2.3850231156121886,1.2685479538457844,2.2675068237859053,21,0.31,0.68
right,10.0,15.108062681466865,-5.1080626814668655,-1.5707963267948966,-2.28455347825858,0.9601921609326853,2.165977173754216,24,0.33,0.66
front,10.0,7.003174924083545,2.9968250759164548,0.0,2.6299250802667236,0.36798790870129444,2.2374291744874655,1,0.3,0.69
