bias_group,count,mean_delta_heading,mean_delta_x,mean_delta_y,mean_delta_distance
negative,138,0.055797101449275355,0.16336916745171823,-0.03230196736899174,0.019041813370561832
positive,159,-0.04842767295597484,0.13120456401179545,-0.02862328137318901,0.03958751588400126
